数据库：分省年度数据
时间：2024年
地区,6岁及6岁以上人口数(人口抽样调查)(人),6岁及6岁以上男性人口数(人口抽样调查)(人),6岁及6岁以上女性人口数(人口抽样调查)(人),6岁及6岁以上未上过学人口数(人口抽样调查)(人),6岁及6岁以上未上过学男性人口数(人口抽样调查)(人),6岁及6岁以上未上过学女性人口数(人口抽样调查)(人),6岁及6岁以上小学人口数(人口抽样调查)(人),6岁及6岁以上小学男性人口数(人口抽样调查)(人),6岁及6岁以上小学女性人口数(人口抽样调查)(人),6岁及6岁以上初中人口数(人口抽样调查)(人),6岁及6岁以上初中男性人口数(人口抽样调查)(人),6岁及6岁以上初中女性人口数(人口抽样调查)(人),6岁及6岁以上高中人口数(人口抽样调查)(人),6岁及6岁以上高中男性人口数(人口抽样调查)(人),6岁及6岁以上高中女性人口数(人口抽样调查)(人),6岁及6岁以上大专及以上人口数(人口抽样调查)(人),6岁及6岁以上大专及以上男性人口数(人口抽样调查)(人),6岁及6岁以上大专及以上女性人口数(人口抽样调查)(人)
北京市,21589,10986,10604,210,54,156,2347,1065,1282,4396,2405,1991,3664,1908,1756,10973,5604,5419
天津市,13547,6918,6628,220,60,161,1990,927,1063,4079,2157,1922,2359,1227,1132,4898,2537,2350
河北省,72738,36028,36710,1564,426,1137,16879,7707,9171,27982,14715,13267,12477,6422,6054,13837,6831,7079
山西省,33865,17271,16594,639,180,459,6362,2946,3416,12666,6673,5993,5903,3247,2656,8295,4230,4070
内蒙古自治区,23660,12094,11566,898,235,664,5464,2511,2953,7773,4261,3511,3479,1890,1589,6046,3236,2849
辽宁省,41489,20379,21110,583,190,393,7778,3528,4250,17105,8642,8462,6052,3107,2945,9971,4991,5059
吉林省,23171,11537,11634,411,125,287,5441,2531,2910,8246,4240,4006,3592,1904,1689,5480,2861,2743
黑龙江省,30475,15188,15287,842,317,525,6703,3107,3596,11632,5922,5710,4508,2373,2135,6790,3348,3321
上海市,24765,12810,11955,529,109,419,2999,1399,1600,6588,3516,3072,4513,2406,2107,10136,5336,4756
江苏省,84785,42954,41831,2853,647,2205,19345,8572,10773,27862,14825,13036,13928,7851,6077,20798,11019,9740
浙江省,65894,34383,31512,3464,878,2585,16612,8049,8563,20626,11752,8874,10476,6131,4345,14716,7576,7144
安徽省,60048,30610,29437,3708,875,2834,16431,7650,8781,19772,10821,8952,8496,5138,3358,11642,6046,5513
福建省,41094,21210,19884,1581,347,1233,11778,5385,6392,13163,7533,5630,6462,3754,2708,8110,4170,3921
江西省,44117,22729,21388,1697,410,1286,12232,5493,6740,15506,8647,6858,7230,4256,2973,7454,3928,3530
山东省,99008,49886,49122,4025,998,3028,24311,10914,13397,35790,19411,16380,14974,8255,6719,19907,10349,9597
河南省,95780,47902,47878,3046,921,2125,22820,10452,12369,36386,18823,17563,16601,8855,7746,16927,8870,8076
湖北省,57640,29443,28197,1895,465,1429,13628,6289,7339,19109,10189,8920,10765,6135,4630,12244,6360,5879
湖南省,64425,32916,31509,1769,540,1228,16233,7585,8647,21671,11519,10152,11763,6610,5153,12991,6578,6329
广东省,124281,65365,58915,3456,958,2498,27499,12716,14783,40479,22390,18089,24426,14234,10192,28420,15074,13353
广西壮族自治区,48667,25101,23565,1614,479,1135,13441,6339,7102,17991,10067,7924,7583,4244,3340,8037,3987,4065
海南省,10168,5393,4775,369,101,269,2027,966,1061,4090,2271,1819,1678,960,719,2004,1122,908
重庆市,31536,15853,15683,866,257,609,9151,4230,4920,8869,4650,4219,5282,2860,2422,7368,3775,3513
四川省,82480,41489,40991,5027,1445,3582,26340,12703,13637,24237,13242,10995,11808,6710,5098,15068,7381,7678
贵州省,36910,18832,18079,3608,880,2728,11979,6202,5777,11322,6456,4865,4031,2201,1830,5971,3111,2878
云南省,45144,23171,21973,2914,823,2091,15716,7917,7799,13215,7502,5713,4718,2688,2030,8582,4311,4340
西藏自治区,3493,1843,1650,1130,502,629,999,566,434,525,322,202,278,157,121,560,298,265
陕西省,38717,19723,18993,1438,397,1040,8269,3874,4395,12972,7015,5957,5924,3213,2712,10114,5236,4889
甘肃省,23891,12113,11778,2375,711,1664,7587,3689,3898,6552,3696,2855,3077,1780,1297,4298,2227,2063
青海省,5722,2870,2853,655,223,432,1823,916,908,1406,795,611,678,361,318,1158,575,585
宁夏回族自治区,7002,3555,3447,482,134,347,1894,905,989,2016,1140,876,980,542,438,1630,855,796
新疆维吾尔自治区,25864,13382,12482,827,327,500,7010,3480,3530,8383,4553,3830,3885,2218,1667,5760,2807,2954
注：1.2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
　　　2.由于采用加权汇总的方法，全国人口抽样调查样本数据合计与各分项或分组相加略有误差。
数据来源：国家统计局
