数据库：分省年度数据
指标：城镇单位就业人员平均工资(元)
时间：最近10年
地区,2025年,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年
北京市,,224608,218312,208977,194651,178178,166803,145766,131700,119928
天津市,,142437,138007,129522,123528,114682,108002,100731,94534,86305
河北省,,97046,94818,90745,82526,77323,72956,68717,63036,55334
山西省,,97781,95025,90495,82413,74739,69551,65917,60061,53705
内蒙古自治区,,113172,108856,100990,90426,85310,80563,73835,66679,61067
辽宁省,,99069,97330,92573,86062,79472,72891,67324,61153,56015
吉林省,,98418,94937,87222,83028,77995,73813,68533,61451,56098
黑龙江省,,99007,95750,88235,80369,74554,68416,60780,56067,52435
上海市,,239557,229337,212476,191844,171884,149377,140400,129795,119935
江苏省,,129220,125102,121724,115133,103621,96527,84688,78267,71574
浙江省,,137239,133045,128825,122309,108645,99654,88883,80750,73326
安徽省,,105416,103688,98649,93861,85854,79037,74378,65150,59102
福建省,,112377,108520,103803,98071,88149,81814,74316,67420,61973
江西省,,95750,92794,87972,83766,78182,73725,68573,61429,56136
山东省,,108131,107131,102247,94768,87749,81446,73593,68081,62539
河南省,,86199,84156,77627,74872,70239,67268,63174,55495,49505
湖北省,,108795,109227,101388,96994,85052,79303,73777,65912,59831
湖南省,,97170,97015,91413,85438,79122,74316,70221,63690,58241
广东省,,135395,131418,124916,118133,108045,98889,88636,79183,72326
广西壮族自治区,,96547,96184,92066,88170,82751,76479,70606,63821,57878
海南省,,117433,114572,104802,97471,86609,82227,75885,67727,61663
重庆市,,117546,113653,107008,101670,93816,86559,78928,70889,65545
四川省,,110177,110160,101800,96741,88559,83367,77686,69419,63926
贵州省,,103867,102010,95410,94487,89228,83298,78316,71795,66279
云南省,,110206,106769,103128,98730,93133,86585,75701,69106,60450
西藏自治区,,161694,165004,154929,140355,121005,118118,116015,108817,103232
陕西省,,111921,106969,98843,90996,83520,78361,71983,65181,59637
甘肃省,,101173,99124,90870,84500,79730,73607,70695,63374,57575
青海省,,122787,121457,115949,109346,101401,90929,85379,75701,66589
宁夏回族自治区,,120355,117681,114631,105266,97438,83947,78384,70298,65570
新疆维吾尔自治区,,116329,112305,101764,94281,86343,79421,75457,67932,63739
数据来源：国家统计局
