数据库：分省年度数据
时间：2024年
地区,年末常住人口(万人),城镇人口(万人),乡村人口(万人)
北京市,2183,1926,257
天津市,1364,1173,191
河北省,7378,4679,2699
山西省,3446,2285,1161
内蒙古自治区,2388,1689,699
辽宁省,4155,3082,1073
吉林省,2317,1524,793
黑龙江省,3029,2061,968
上海市,2480,2228,252
江苏省,8526,6440,2086
浙江省,6670,5033,1637
安徽省,6123,3831,2292
福建省,4193,3011,1182
江西省,4502,2871,1631
山东省,10080,6701,3379
河南省,9785,5795,3990
湖北省,5834,3871,1963
湖南省,6539,4059,2480
广东省,12780,9701,3079
广西壮族自治区,5013,2877,2136
海南省,1048,661,387
重庆市,3190,2301,889
四川省,8364,5027,3337
贵州省,3860,2187,1673
云南省,4655,2519,2136
西藏自治区,370,147,223
陕西省,3953,2615,1338
甘肃省,2458,1397,1061
青海省,593,379,214
宁夏回族自治区,729,497,232
新疆维吾尔自治区,2623,1583,1040
注：常住人口包括：居住在本乡镇街道且户口在本乡镇街道或户口待定的人；居住在本乡镇街道且离开户口登记地所在的乡镇街道半年以上的人；户口在本乡镇街道且外出不满半年或在境外工作学习的人。
数据来源：国家统计局
